track;x;y
1;1598;526
1;1524;544
1;1441;557
1;1357;392
1;1395;573
1;1352;409
1;1415;573
1;1358;379
1;1424;557
1;1319;574
1;1279;357
1;1309;573
1;1271;372
1;1294;582
1;1144;621
1;927;665
1;839;409
1;899;665
1;728;493
1;884;665
1;1058;391
1;866;665
1;715;684
1;597;509
1;692;684
1;456;425
1;669;684
1;481;719
1;481;684
1;432;693
1;432;718
1;441;740
1;502;740
1;1598;988
1;1624;1034
3;1598;526
3;1524;544
3;1441;557
3;1357;392
3;1395;573
3;1352;409
3;1415;573
3;1358;379
3;1424;557
3;1319;574
3;1279;357
3;1309;573
3;1271;372
3;1294;582
3;1144;621
3;927;665
3;839;409
3;899;665
3;728;493
3;884;665
3;1058;391
3;866;665
3;715;684
3;597;509
3;692;684
3;456;425
3;669;684
3;481;719
3;481;684
3;432;693
3;432;718
3;441;740
3;502;740
3;1598;988
3;1624;1034
